event,$amount,$app_build_number,$app_release,$app_version,$app_version_string,$bluetooth_version,$brand,$carrier,$city,$device_id,$distinct_id_before_identity,$had_persisted_distinct_id,$has_nfc,$has_telephone,$identity_failure_reason,$insert_id,$is_reshuffled,$lib_version,$manufacturer,$model,$mp_api_endpoint,$mp_api_timestamp_ms,$mp_event_size,$os,$os_version,$partner_id,$preshuffle_distinct_id,$radio,$region,$screen_dpi,$screen_height,$screen_width,$user_id,$wifi,ab_test_name,ab_test_revision,access_level_id,activated_at,af_ad,af_ad_id,af_ad_type,af_adset,af_adset_id,af_c_id,af_channel,af_keywords,af_siteid,ai_type,app_version,aspect_ratio,auto_progress,base_plan_id,billing_issue_detected_at,c,campaign,cancellation_reason,cohort_name,coins,component_stack,consecutive_payments,cost,creation_id,creation_url,currency,current_coins,developer_id,distinct_id,download_status,duration,entry_source,environment,error,error_message,error_name,error_stack,error_status,event_datetime,expires_at,from_page,gender,impression_based,is_active,is_continue_editing,is_in_grace_period,is_lifetime,is_pro,is_refund,is_video,location,media_source,mode,model,mp_country_code,mp_lib,mp_processing_time_ms,name,net_revenue_local,net_revenue_usd,network,original_purchase_date,original_transaction_id,output_mode,page_name,page_number,paywall_id,paywall_name,paywall_revision,permission_status,photo_count,photo_type,platform,price,price_local,price_usd,proceeds_local,proceeds_usd,product_id,product_name,product_type,profile_country,profile_event_id,profile_has_access_level,profile_id,profile_ip_address,profile_total_revenue_usd,profiles_sharing_access_level,promotional_offer_id,prompt,prompt_source,prompt_text,prompt_title,purchase_date,rate_after_first_year,reason,reasons,regenerate,renewed_at,save_status,screen_type,section_id,section_name,selected_title,source,starts_at,status,store,store_country,store_offer_category,store_offer_discount_type,style_name,style_slug,subscription_expires_at,tab,tax_amount_local,tax_amount_usd,time,timestamp,to_page,transaction_id,trial_duration,variation_id,vendor_product_id,wifi,will_renew,total_pages,$bluetooth_enabled,completed_pages,result
subscription_renewed,9.99,,,,,,,,,,,,,,,24a5a135-d915-4a60-ae03-cdae86626f95,,4.5.0,,,api.mixpanel.com,1774800646695,1859,,,,,,,,,,user_1,,59 vs 79 cross test child-0,,,,,,,,,,,,,,,,,,,,,,All Users,,,6.0,,,,USD,,custom_with_intro,user_1,,,,Production,,,,,,2026-03-30T00:09:32,,,,,,,,,,,,,,,,,python,1774800646771,,6.992999999999999,6.992999999999999,,2026-02-23T01:09:32,30003146241709,,,,,Custom Paywall 59.99 (yearly promoted),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,24a5a135-d915-4a60-ae03-cdae86626f95,,d0c51804-e61a-4f7b-a6b4-848acb5036b4,74.254.145.23,56.94,,,,,,,2026-03-30T00:09:32,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T00:09:32,,0.0,0.0,1774800646,,,30003212282245,,92cebd09-c9cc-42ac-952a-318d3e9e7dbf,weekly_premium_intro,,,,,,
subscription_renewed,9.99,,,,,,,,,,,,,,,fec77833-ce55-466a-88b7-fc45917eb299,,4.5.0,,,api.mixpanel.com,1774805636025,1826,,,,,,,,,,user_2,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,4.0,,,,USD,,custom_with_intro,user_2,,,,Production,,,,,,2026-03-30T01:32:42,,,,,,,,,,,,,,,,,python,1774805636222,,6.992999999999999,6.992999999999999,,2026-03-09T01:32:42,550002843006366,,,,,Custom Paywall With Intro(weekly promoted),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,fec77833-ce55-466a-88b7-fc45917eb299,,9cb4223f-d991-4b6c-a0e0-4099ad64c113,72.26.34.233,36.96,,,,,,,2026-03-30T01:32:42,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T01:32:42,,0.0,0.0,1774805636,,,550002878212566,,990f906b-1b69-42ef-9cef-1ca119aef3a8,weekly_premium_intro,,,,,,
subscription_renewed,10.33260795989928,,,,,,,,,,,,,,,44287d0f-d0be-430c-aa11-4ef91df20486,,4.5.0,,,api.mixpanel.com,1774809985393,1885,,,,,,,,,,user_3,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,4.0,,,,USD,,custom_with_intro,user_3,,,,Production,,,,,,2026-03-30T02:46:04,,,,,,,,,,,,,,,,,python,1774809991776,,9.539090909090907,6.575295974481358,,2026-03-09T02:46:04,170003449377413,,,,,Custom Paywall With Intro(weekly promoted),1.0,,,,,,14.99,10.33260795989928,10.493,7.232825571929495,,,,AU,44287d0f-d0be-430c-aa11-4ef91df20486,,1c7ee978-a731-4a13-a760-40017db59490,49.182.54.170,38.30451676382058,,,,,,,2026-03-30T02:46:04,False,,,,,,,,,,,,,app_store,AU,,,,,2026-04-06T02:46:04,,1.362727272727273,0.93932799635448,1774809985,,,170003493988188,,990f906b-1b69-42ef-9cef-1ca119aef3a8,weekly_premium_intro,,,,,,
subscription_renewed,13.31217244260375,,,,,,,,,,,,,,,7723d42a-acc9-445c-a0be-95d5b7f40ffd,,4.5.0,,,api.mixpanel.com,1774826816942,1920,,,,,,,,,,user_4,,Weekly or Yearly promoted test,,,,,,,,,,,,,,,,,,,,,,All Users,,,8.0,,,,USD,,custom_with_intro,user_4,,,,Production,,,,,,2026-03-30T02:06:16,,,,,,,,,,,,,,,,,python,1774826824451,,5.793703396851698,7.720398268287177,,2026-02-08T12:51:11,530002725673566,,,,,Custom Paywall With Intro(weekly promoted),1.0,,,,,,9.99,13.31217244260375,6.992999999999999,9.318520709822623,,,,GB,7723d42a-acc9-445c-a0be-95d5b7f40ffd,,74940ceb-0a3b-453c-9aaa-b60788e0c410,94.0.7.240,123.6953941831043,,,,,,,2026-03-30T02:06:16,False,,,,,,,,,,,,,app_store,GB,,,,,2026-04-06T02:06:16,,1.713280861640431,2.283032059336351,1774826816,,,530002809828863,,71a23214-a348-4a82-8be2-3d9ee8dca422,weekly_premium_intro,,,,,,
subscription_renewed,7.187826024391121,,,,,,,,,,,,,,,9a097fe3-ef72-4049-b28e-ed507d1163e1,,4.5.0,,,api.mixpanel.com,1774809531895,1882,,,,,,,,,,user_5,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,11.0,,,,USD,,all_paywall_with_intro_test,user_5,,,,Production,,,,,,2026-03-30T02:37:17,,,,,,,,,,,,,,,,,python,1774809532197,,6.992999999999999,5.031478217073785,,2026-01-19T03:37:17,700002286986002,,,,,Standart Paywall - NonTrial With 7999 (type_1),1.0,,,,,,9.99,7.187826024391121,6.992999999999999,5.031478217073785,,,,CA,9a097fe3-ef72-4049-b28e-ed507d1163e1,,e8a6af99-0a06-4014-921f-464001e0240c,174.119.199.247,80.11997946368558,,,,,,,2026-03-30T02:37:17,False,,,,,,,,,,,,,app_store,CA,,,,,2026-04-06T02:37:17,,0.0,0.0,1774809531,,,700002513435171,,48e5d4c9-c73f-4d4a-bec2-018d4cf39454,weekly_upgrade_basic,,,,,,
subscription_renewed,9.99,,,,,,,,,,,,,,,890d47de-22f6-4c68-ae37-0c99cf0ba83e,,4.5.0,,,api.mixpanel.com,1774820050734,1861,,,,,,,,,,user_6,,59 vs 79 cross test child-0,,,,,,,,,,,,,,,,,,,,,,All Users,,,6.0,,,,USD,,custom_with_intro,user_6,,,,Production,,,,,,2026-03-30T05:33:54,,,,,,,,,,,,,,,,,python,1774820050801,,6.992999999999999,6.992999999999999,,2026-02-23T06:33:54,120003558868873,,,,,Custom Paywall 59.99 (yearly promoted),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,890d47de-22f6-4c68-ae37-0c99cf0ba83e,,df624174-7f25-45ba-a967-0d4cb44b508d,98.155.137.63,56.94,,,,,,,2026-03-30T05:33:54,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T05:33:54,,0.0,0.0,1774820050,,,120003635389184,,92cebd09-c9cc-42ac-952a-318d3e9e7dbf,weekly_premium_intro,,,,,,
subscription_renewed,9.99,,,,,,,,,,,,,,,58e22d08-c287-4b45-a761-0455d0e2d2f1,,4.5.0,,,api.mixpanel.com,1774813465181,1829,,,,,,,,,,user_7,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,4.0,,,,USD,,custom_with_intro,user_7,,,,Production,,,,,,2026-03-30T03:43:27,,,,,,,,,,,,,,,,,python,1774813465235,,6.992999999999999,6.992999999999999,,2026-03-09T03:43:27,700002480926983,,,,,Custom Paywall With Intro(weekly promoted),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,58e22d08-c287-4b45-a761-0455d0e2d2f1,,dec91741-2831-46d3-9cd4-a5ef936c3045,174.224.128.232,36.96,,,,,,,2026-03-30T03:43:27,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T03:43:27,,0.0,0.0,1774813465,,,700002513503441,,990f906b-1b69-42ef-9cef-1ca119aef3a8,weekly_premium_intro,,,,,,
subscription_renewed,9.99,,,,,,,,,,,,,,,5a808e48-e784-4d12-9e99-e39bd5ac3ac3,,4.5.0,,,api.mixpanel.com,1774806941338,1827,,,,,,,,,,user_8,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,4.0,,,,USD,,custom_with_intro,user_8,,,,Production,,,,,,2026-03-30T01:54:35,,,,,,,,,,,,,,,,,python,1774806970766,,6.992999999999999,6.992999999999999,,2026-03-09T01:54:35,70003384219794,,,,,Custom Paywall With Intro(weekly promoted),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,5a808e48-e784-4d12-9e99-e39bd5ac3ac3,,6117d60d-28a2-4ace-add8-5b443a4e8d40,108.231.153.235,36.96,,,,,,,2026-03-30T01:54:35,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T01:54:35,,0.0,0.0,1774806941,,,70003426708369,,990f906b-1b69-42ef-9cef-1ca119aef3a8,weekly_premium_intro,,,,,,
subscription_renewed,6.99,,,,,,,,,,,,,,,e1e0bbec-e31a-48da-b7d7-a3a99a6c8eca,,4.5.0,,,api.mixpanel.com,1774814734200,1807,,,,,,,,,,user_9,,,,,,,,,,,,,,,,,,,,,,,,All Users,,,11.0,,,,USD,,all_paywall_with_intro_test,user_9,,,,Production,,,,,,2026-03-30T03:59:43,,,,,,,,,,,,,,,,,python,1774814734260,,4.893,4.893,,2026-01-19T04:59:43,440002761404196,,,,,Standart Paywall - NonTrial With 7999 (type_1),1.0,,,,,,6.99,6.99,4.893,4.893,,,,US,e1e0bbec-e31a-48da-b7d7-a3a99a6c8eca,,fc9cd915-fb5c-473f-8f48-df7b6e6a35c2,68.33.207.187,106.87,,,,,,,2026-03-30T03:59:43,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T03:59:43,,0.0,0.0,1774814734,,,440003014492109,,48e5d4c9-c73f-4d4a-bec2-018d4cf39454,weekly_upgrade_basic,,,,,,
subscription_renewed,9.99,,,,,,,,,,,,,,,824b6a2e-9e8c-4ab3-a1fb-ae7bbc4ed2ae,,4.5.0,,,api.mixpanel.com,1774819942807,1876,,,,,,,,,,user_10,,Intro ABC,,,,,,,,,,,,,,,,,,,,,,All Users,,,12.0,,,,USD,,all_paywall_with_intro_test,user_10,,,,Production,,,,,,2026-03-30T05:30:03,,,,,,,,,,,,,,,,,python,1774819942885,,6.992999999999999,6.992999999999999,,2026-01-12T06:30:03,470002859056095,,,,,Standart Paywall - NonTrial With 7999 - Intro Price (type_3),1.0,,,,,,9.99,9.99,6.992999999999999,6.992999999999999,,,,US,824b6a2e-9e8c-4ab3-a1fb-ae7bbc4ed2ae,,bc340505-e6d1-4106-b62a-ad617c51b1ee,174.227.74.14,116.88,,,,,,,2026-03-30T05:30:03,False,,,,,,,,,,,,,app_store,US,,,,,2026-04-06T05:30:03,,0.0,0.0,1774819942,,,470003145765373,,8d6e2d56-a6c7-4d76-af51-400498a489d1,weekly_premium_intro,,,,,,
